title,parent_celex,oj_num,doc_type,celex_num,url
Directive 2009/62/EC of the European Parliament and of the Council of 13 July 2009 relating to the space for mounting the rear registration plate of two or three-wheel motor vehicles (Codified version) (Text with EEA relevance ),32013R0168,"OJ L 198, 30.7.2009, p. 20-27",L,32009L0062,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2009.198.01.0020.01.ENG&toc=OJ:L:2009:198:TOC
Directive 2009/67/EC of the European Parliament and of the Council of 13 July 2009 on the installation of lighting and light-signalling devices on two or three-wheel motor vehicles (Codified version) (Text with EEA relevance),32013R0168,"OJ L 222, 25.8.2009, p. 1-91",L,32009L0067,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2009.222.01.0001.01.ENG&toc=OJ:L:2009:222:TOC
Directive 2009/78/EC of the European Parliament and of the Council of 13 July 2009 on stands for two-wheel motor vehicles (Codified version) (Text with EEA relevance),32013R0168,"OJ L 231, 3.9.2009, p. 8-20",L,32009L0078,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2009.231.01.0008.01.ENG&toc=OJ:L:2009:231:TOC
Directive 2009/79/EC of the European Parliament and of the Council of 13 July 2009 on passenger hand-holds on two-wheel motor vehicles (Codified version) (Text with EEA relevance),32013R0168,"OJ L 201, 1.8.2009, p. 29-35",L,32009L0079,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2009.201.01.0029.01.ENG&toc=OJ:L:2009:201:TOC
"Directive 2009/80/EC of the European Parliament and of the Council of 13 July 2009 on the identification of controls, tell-tales and indicators for two or three-wheel motor vehicles (Codified version) (Text with EEA relevance)",32013R0168,"OJ L 202, 4.8.2009, p. 16-28",L,32009L0080,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2009.202.01.0016.01.ENG&toc=OJ:L:2009:202:TOC
Directive 2009/139/EC of the European Parliament and of the Council of 25 November 2009 on statutory markings for two- or three-wheel motor vehicles (Codified version) (Text with EEA relevance),32013R0168,"OJ L 322, 9.12.2009, p. 3-11",L,32009L0139,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2009.322.01.0003.01.ENG&toc=OJ:L:2009:322:TOC
Directive 97/68/EC of the European Parliament and of the Council of 16 December 1997 on the approximation of the laws of the Member States relating to measures against the emission of gaseous and particulate pollutants from internal combustion engines to be installed in non-road mobile machinery,32013R0168,"OJ L 59, 27.2.1998, p. 1-86",L,31997L0068,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1998.059.01.0001.01.ENG&toc=OJ:L:1998:059:TOC
"Directive 2006/42/EC of the European Parliament and of the Council of  17 May 2006  on machinery, and amending Directive 95/16/EC (recast)   (Text with EEA relevance)",32013R0168,"OJ L 157, 9.6.2006, p. 24-86",L,32006L0042,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2006.157.01.0024.01.ENG&toc=OJ:L:2006:157:TOC
Directive 2006/126/EC of the European Parliament and of the Council of 20 December 2006 on driving licences (Recast)   (Text with EEA relevance),32013R0168,"OJ L 403, 30.12.2006, p. 18-60",L,32006L0126,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2006.403.01.0018.01.ENG&toc=OJ:L:2006:403:TOC
Directive 2004/108/EC of the European Parliament and of the Council of 15 December 2004 on the approximation of the laws of the Member States relating to electromagnetic compatibility and repealing Directive 89/336/EEC Text with EEA relevance,32013R0168,"OJ L 390, 31.12.2004, p. 24-37",L,32004L0108,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2004.390.01.0024.01.ENG&toc=OJ:L:2004:390:TOC
Directive 2006/95/EC of the European Parliament and of the Council of 12 December 2006 on the harmonisation of the laws of Member States relating to electrical equipment designed for use within certain voltage limits (codified version)   (Text with EEA relevance),32013R0168,"OJ L 374, 27.12.2006, p. 10-19",L,32006L0095,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2006.374.01.0010.01.ENG&toc=OJ:L:2006:374:TOC
Commission Regulation (EC) No 692/2008 of 18 July 2008 implementing and amending Regulation (EC) No 715/2007 of the European Parliament and of the Council on type-approval of motor vehicles with respect to emissions from light passenger and commercial vehicles (Euro 5 and Euro 6) and on access to vehicle repair and maintenance information (Text with EEA relevance),32013R0168,"OJ L 199, 28.7.2008, p. 1-136",L,32008R0692,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2008.199.01.0001.01.ENG&toc=OJ:L:2008:199:TOC
