title,parent_celex,oj_num,doc_type,celex_num,url
Opinion of the European Economic and Social Committee on the Proposal for a European Parliament and Council Regulation - Regulation (EU) No …/2010 of the European Parliament and of the Council on the approval and market surveillance of two- or three-wheel vehicles and quadricycles COM(2010) 542 final - 2010/0271 (COD),32013R0168,"C 84/30, 17.3.2011",C,52011AE0065,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2011.084.01.0030.01.ENG&toc=OJ:C:2011:084:TOC
Directive 2002/24/EC of the European Parliament and of the Council of 18 March 2002 relating to the type-approval of two or three-wheel motor vehicles and repealing Council Directive 92/61/EEC (Text with EEA relevance),32013R0168,"OJ L 124, 9.5.2002, p. 1-44",L,32002L0024,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2002.124.01.0001.01.ENG&toc=OJ:L:2002:124:TOC
Regulation (EC) No 765/2008 of the European Parliament and of the Council of 9 July 2008 setting out the requirements for accreditation and market surveillance relating to the marketing of products and repealing Regulation (EEC) No 339/93 (Text with EEA relevance),32013R0168,"OJ L 218, 13.8.2008, p. 30-47",L,32008R0765,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2008.218.01.0030.01.ENG&toc=OJ:L:2008:218:TOC
"Directive 95/1/EC of the European Parliament and of the Council of 2 February 1995 on the maximum design speed, maximum torque and maximum net engine power of two or three-wheel motor vehicles",32013R0168,"OJ L 52, 8.3.1995, p. 1-40",L,31995L0001,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1995.052.01.0001.01.ENG&toc=OJ:L:1995:052:TOC
"COUNCIL DECISION of 27 November 1997 with a view to accession by the European Community to the Agreement of the United Nations Economic Commission for Europe concerning the adoption of uniform technical prescriptions for wheeled vehicles, equipment and parts which can be fitted to and/or be used on wheeled vehicles and the conditions for reciprocal recognition of approvals granted on the basis of these prescriptions ('Revised 1958 Agreement')",32013R0168,"OJ L 346, 17.12.1997, p. 78-94",L,JOL_1997_346_R_0078_023,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1997.346.01.0078.01.ENG&toc=OJ:L:1997:346:TOC
Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by Member States of the Commission's exercise of implementing powers,32013R0168,"OJ L 55, 28.2.2011, p. 13-18",L,32011R0182,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2011.055.01.0013.01.ENG&toc=OJ:L:2011:055:TOC
"Directive 2007/46/EC of the European Parliament and of the Council of 5 September 2007 establishing a framework for the approval of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles (Framework Directive) (Text with EEA relevance)",32013R0168,"OJ L 263, 9.10.2007, p. 1-160",L,32007L0046,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2007.263.01.0001.01.ENG&toc=OJ:L:2007:263:TOC
Council Directive 93/14/EEC of 5 April 1993 on the braking of two or three-wheel motor vehicles,32013R0168,"L 121/1, 15.5.1993",L,31993L0014,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1993.121.01.0001.01.ENG&toc=OJ:L:1993:121:TOC
Council Directive 93/30/EEC of 14 June 1993 on audible warning devices for two-or three-wheel motor vehicles,32013R0168,"L 188/11, 29.7.1993",L,31993L0030,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1993.188.01.0011.01.ENG&toc=OJ:L:1993:188:TOC
Council Directive 93/33/EEC of 14 June 1993 on protective devices intended to prevent the unauthorized use of two- or three-wheel motor vehicles,32013R0168,"OJ L 188, 29.7.1993, p. 32-37",L,31993L0033,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1993.188.01.0032.01.ENG&toc=OJ:L:1993:188:TOC
Council Directive 93/93/EEC of 29 October 1993 on the masses and dimensions of two or three-wheel motor vehicles,32013R0168,"OJ L 311, 14.12.1993, p. 76-82",L,31993L0093,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1993.311.01.0076.01.ENG&toc=OJ:L:1993:311:TOC
Directive 97/24/EC of the European Parliament and of the Council of 17 June 1997 on certain components and characteristics of two or three-wheel motor vehicles,32013R0168,"OJ L 226, 18.8.1997, p. 1-454",L,31997L0024,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1997.226.01.0001.01.ENG&toc=OJ:L:1997:226:TOC
Directive 2000/7/EC of the European Parliament and of the Council of 20 March 2000 on speedometers for two- or three-wheel motor vehicles and amending Council Directive 92/61/EEC on the type-approval of two- or three-wheel motor vehicles,32013R0168,"OJ L 106, 3.5.2000, p. 1-6",L,32000L0007,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2000.106.01.0001.01.ENG&toc=OJ:L:2000:106:TOC
Directive 2002/51/EC of the European Parliament and of the Council of 19 July 2002 on the reduction of the level of pollutant emissions from two- and three-wheel motor vehicles and amending Directive 97/24/EC (Text with EEA relevance) - Statement by the Commission - Commission declaration as complement,32013R0168,"OJ L 252, 20.9.2002, p. 20-32",L,32002L0051,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2002.252.01.0020.01.ENG&toc=OJ:L:2002:252:TOC
