title,parent_celex,oj_num,doc_type,celex_num,url
Opinion of the European Economic and Social Committee on the 'New Legislative Framework (NLF) Alignment Package (Implementation of the Goods package)' COM(2011) 764 final - 2011/0358 (COD) COM(2011) 765 final - 2011/0351 (COD) COM(2011) 766 final - 2011/0352 (COD) COM(2011) 768 final - 2011/0350 (COD) COM(2011) 769 final - 2011/0353 (COD) COM(2011) 770 final - 2011/0354 (COD) COM(2011) 771 final - 2011/0349 (COD) COM(2011) 772 final - 2011/0356 (COD) COM(2011) 773 final - 2011/0357 (COD),32014L0032,"C 181/105, 21.6.2012",C,52012AE0805,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2012.181.01.0105.01.ENG&toc=OJ:C:2012:181:TOC
Directive 2004/22/EC of the European Parliament and of the Council of 31 March 2004 on measuring instruments (Text with EEA relevance),32014L0032,"OJ L 135, 30.4.2004, p. 1-80",L,32004L0022,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2004.135.01.0001.01.ENG&toc=OJ:L:2004:135:TOC
Regulation (EC) No 765/2008 of the European Parliament and of the Council of 9 July 2008 setting out the requirements for accreditation and market surveillance relating to the marketing of products and repealing Regulation (EEC) No 339/93 (Text with EEA relevance),32014L0032,"OJ L 218, 13.8.2008, p. 30-47",L,32008R0765,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2008.218.01.0030.01.ENG&toc=OJ:L:2008:218:TOC
"Decision No 768/2008/EC of the European Parliament and of the Council of 9 July 2008 on a common framework for the marketing of products, and repealing Council Decision 93/465/EEC (Text with EEA relevance)",32014L0032,"OJ L 218, 13.8.2008, p. 82-128",L,32008D0768,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2008.218.01.0082.01.ENG&toc=OJ:L:2008:218:TOC
Directive 2004/108/EC of the European Parliament and of the Council of 15 December 2004 on the approximation of the laws of the Member States relating to electromagnetic compatibility and repealing Directive 89/336/EEC Text with EEA relevance,32014L0032,"OJ L 390, 31.12.2004, p. 24-37",L,32004L0108,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2004.390.01.0024.01.ENG&toc=OJ:L:2004:390:TOC
"Regulation (EU) No 1025/2012 of the European Parliament and of the Council of 25 October 2012 on European standardisation, amending Council Directives 89/686/EEC and 93/15/EEC and Directives 94/9/EC, 94/25/EC, 95/16/EC, 97/23/EC, 98/34/EC, 2004/22/EC, 2007/23/EC, 2009/23/EC and 2009/105/EC of the European Parliament and of the Council and repealing Council Decision 87/95/EEC and Decision No 1673/2006/EC of the European Parliament and of the Council  Text with EEA relevance",32014L0032,"OJ L 316, 14.11.2012, p. 12-33",L,32012R1025,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2012.316.01.0012.01.ENG&toc=OJ:L:2012:316:TOC
Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by Member States of the Commission's exercise of implementing powers,32014L0032,"OJ L 55, 28.2.2011, p. 13-18",L,32011R0182,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2011.055.01.0013.01.ENG&toc=OJ:L:2011:055:TOC
Council Directive 2003/96/EC of 27 October 2003 restructuring the Community framework for the taxation of energy products and electricity (Text with EEA relevance),32014L0032,"L 283/51, 31.10.2003",L,32003L0096,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2003.283.01.0051.01.ENG&toc=OJ:L:2003:283:TOC
Council Directive 76/211/EEC of 20 January 1976 on the approximation of the laws of the Member States relating to the making-up by weight or by volume of certain prepackaged products,32014L0032,"OJ L 46, 21.2.1976, p. 1-11",L,31976L0211,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1976.046.01.0001.01.ENG&toc=OJ:L:1976:046:TOC
Regulation No 83 of the Economic Commission for Europe of the United Nations (UN/ECE) - Uniform provisions concerning the approval of vehicles with regard to the emission of pollutants according to engine fuel requirements,32014L0032,"OJ L 42, 15.2.2012, p. 1-207",L,42012X0215(01),https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2012.042.01.0001.01.ENG&toc=OJ:L:2012:042:TOC
