title,parent_celex,oj_num,doc_type,celex_num,url
Opinion of the European Economic and Social Committee on the Proposal for a Regulation of the European Parliament and of the Council on common rules in the field of civil aviation security  COM(2005) 429 final - 2005/0191 (COD),32008R0300,"C 185/17, 8.8.2006",C,52006AE0584,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2006.185.01.0017.01.ENG&toc=OJ:C:2006:185:TOC
Regulation (EC) No 2320/2002 of the European Parliament and of the Council of 16 December 2002 establishing common rules in the field of civil aviation security (Text with EEA relevance) - Interinstitutional declaration,32008R0300,"L 355/1, 30.12.2002",L,32002R2320,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2002.355.01.0001.01.ENG&toc=OJ:L:2002:355:TOC
Regulation (EC) No 849/2004 of the European Parliament and of the Council of 29 April 2004 amending Regulation (EC) No 2320/2002 establishing common rules in the field of civil aviation security (Text with EEA relevance),32008R0300,"OJ L 158, 30.4.2004, p. 1-6",L,32004R0849,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2004.158.01.0001.01.ENG&toc=OJ:L:2004:158:TOC
"Corrigendum to Regulation (EC) No 849/2004 of the European Parliament and of the Council of 29 April 2004 amending Regulation (EC) No 2320/2002 establishing common rules in the field of civil aviation security (OJ L 158, 30.4.2004)",32008R0300,"OJ L 229, 29.6.2004, p. 3-4",L,32004R0849R(01),https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2004.229.01.0003.01.ENG&toc=OJ:L:2004:229:TOC
"2001/844/EC,ECSC,Euratom: Commission Decision of 29 November 2001 amending its internal Rules of Procedure (notified under document number C(2001) 3031)",32008R0300,"OJ L 317, 3.12.2001, p. 1-55",L,32001D0844,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2001.317.01.0001.01.ENG&toc=OJ:L:2001:317:TOC
"2006/548/EC,Euratom: Commission Decision of  2 August 2006  amending Decision 2001/844/EC, ECSC, Euratom",32008R0300,"OJ L 215, 5.8.2006, p. 38-43",L,32006D0548,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2006.215.01.0038.01.ENG&toc=OJ:L:2006:215:TOC
1999/468/EC: Council Decision of 28 June 1999 laying down the procedures for the exercise of implementing powers conferred on the Commission,32008R0300,"OJ L 184, 17.7.1999, p. 23-26",L,31999D0468,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1999.184.01.0023.01.ENG&toc=OJ:L:1999:184:TOC
2006/512/EC: Council Decision of  17 July 2006  amending Decision 1999/468/EC laying down the procedures for the exercise of implementing powers conferred on the Commission,32008R0300,"OJ L 200, 22.7.2006, p. 11-13",L,32006D0512,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2006.200.01.0011.01.ENG&toc=OJ:L:2006:200:TOC
Council Regulation (EEC) No 2407/92 of 23 July 1992 on licensing of air carriers,32008R0300,"OJ L 240, 24.8.1992, p. 1-7",L,31992R2407,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1992.240.01.0001.01.ENG&toc=OJ:L:1992:240:TOC
